,word,count
0,abandon home,3
5213,major donor,3
5208,major bridge,3
5206,maize rice,3
5204,maize millet,3
5202,maize import,3
5201,maize harvest,3
5200,maize flour,3
5196,maintain clean,3
5216,major growing,3
5191,main route,3
5185,main highway,3
5183,main drinking,3
5180,magnitude undersea,3
5179,magnitude struck,3
5173,madrid march,3
5170,made way,3
5166,made help,3
5165,made decision,3
5186,main island,3
5046,linked al,3
5217,major health,3
5219,major issue,3
5267,mali restive,3
5266,mali niger,3
